N   y0      P       tau0    dt      umax
16  0       2.0     0.0     0.01968 0.999
16  0.1     2.4691  0.24691 0.01940 0.99
16  0.2     3.125   0.625   0.01897 0.983
16  0.3     4.0816  1.22449 0.01846 0.97
16  0.4     5.5556  2.22222 0.01780 0.947
16  0.5     8.0     4.0     0.01694 0.904
16  0.6     12.5    7.5     0.01585 0.814
16  0.7     22.222  15.5556 0.01452 0.584
16  0.8     50.0    40.0    0.01026 0.0
32  0       2.0     0.0     0.005   0.9998
32  0.1     2.4691  0.24691 0.005   0.997
32  0.2     3.125   0.625   0.005   0.994
32  0.3     4.0816  1.22449 0.005   0.9889
32  0.4     5.5556  2.22222 0.005   0.0
32  0.4     5.5556  2.22222 0.004   0.98
32  0.5     8.0     4.0     0.004   0.0
32  0.5     8.0     4.0     0.003   0.9648
32  0.6     12.5    7.5     0.003   0.9329
32  0.7     22.222  15.5556 0.003   0.0
32  0.7     22.222  15.5556 0.002   0.8548
32  0.8     50.0    40.0    0.002   0.5813
64  0       2.0     0.0     0.001   1.0
64  0.5     8.0     4.0     0.001   0.0
64  0.5     8.0     4.0     0.0005  0.9875
64  0.8     50.0    40.0    0.0005  0.0
64  0.8     50.0    40.0    0.0003  0.0
64  0.8     50.0    40.0    0.0002  0.0
64  0.8     50.0    40.0    0.0001  0.8
